threshold,average_precision,accuracy,pass_precision,pass_recall,pass_f1,fail_precision,fail_recall,fail_f1,tn,fp,fn,tp,roc_auc,calibration,experiment,note,eligible_rows,eligible_failures,wafers,opt_use_parametric,opt_use_block,seconds,opt_correct_prior,opt_use_rate,opt_use_hazard,opt_smooth_evidence,opt_use_old_fails,opt_rounds,opt_subtract_density,opt_evidence_level
0.11645159595105654,0.6578330725184879,0.9721755162720646,0.9786269949474697,0.9926246288588512,0.9855761140987932,0.7532320254025856,0.5094339622641509,0.607796486090776,146430,1088,3198,3321,0.9267664421569747,0.5829964489026159,B_evidence_level_none,ablation: leave the head's constant on the prior side,154037,6519,160,,,68.3,,,,,,,,none
0.3045945834572316,0.656645524208069,0.9723962424612268,0.9784847837122933,0.9930110223837091,0.9856943874358233,0.7618387618387619,0.5059058137751189,0.6080383480825958,146487,1031,3221,3298,0.9263037875321039,1.0002129178252204,B_no_prior_correction,ablation: hazard shape taken as exact,154037,6519,160,,,132.7,False,,,,,,,
0.30764236334917744,0.6565842917587803,0.9725455572362485,0.9783539089154921,0.9933092910695643,0.9857748805042871,0.7685272045028143,0.5026844608068722,0.6078085875915793,146531,987,3242,3277,0.9262109396584363,0.9980270715127915,B_two_rounds,ablation: refit the head against the recovered rates,154037,6519,160,,,229.3,,,,,,2.0,,
0.31896487085585307,0.6564874603967881,0.9728636626265118,0.978143972246314,0.9938719342724278,0.9859452334839681,0.7820110923559199,0.49746893695352046,0.6081005062816426,146614,904,3276,3243,0.9261800548384047,0.999399248351984,B_three_rounds,ablation: refit it twice,154037,6519,160,,,312.7,,,,,,3.0,,
0.3084819272734334,0.6564153416033803,0.9725260813960283,0.9783087646210543,0.9933364064046422,0.9857653160759093,0.7688690336233247,0.5016106764841234,0.6071295952469365,146535,983,3249,3270,0.9261103323649823,0.9967760420375785,B_full,"Model B, smooth ratios plus the recovered wafer rate",154037,6519,160,,,134.9,,,,,,,,
0.3034475834449316,0.6553177979687494,0.972415718301447,0.9783254652412845,0.9932008297292534,0.9857070294235382,0.7654349859681946,0.5020708697653015,0.6063918480778138,146515,1003,3246,3273,0.9256801462637527,0.9809817756300994,B_no_old_fails,ablation: parametric direction without pre-test fails,154037,6519,160,,,129.2,,,,,False,,,
0.2868018568025827,0.6548963956508569,0.9716886202665593,0.9787379192723138,0.9919874184845239,0.9853181296354278,0.7386112339672711,0.5123485197116122,0.6050176614437098,146336,1182,3179,3340,0.9255756842169955,0.9979571110704719,B_keep_density_offset,ablation: leave the generator's density term in the parametric score,154037,6519,160,,,137.3,,,,,,,False,
0.5384750072935685,0.6503862656845114,0.9715912410654582,0.978633336008346,0.9919941973182934,0.9852684733209898,0.7378468368479467,0.509894155545329,0.6030478955007257,146337,1181,3195,3324,0.9232038982875788,1.8794563888739282,B_evidence_level_mean_exp,ablation: move the constant so E[exp(evidence)] = 1 over passes,154037,6519,160,,,68.2,,,,,,,,mean_exp
0.2947774795739613,0.6022579725280421,0.970903094711011,0.9763484261146412,0.9936889057606529,0.9849423495578788,0.7612208258527827,0.45528455284552843,0.5697830677673258,146587,931,3551,2968,0.8980534964098417,1.0015463744486255,B_linear,"Model B, one coefficient per channel (no spline)",154037,6519,160,,,114.5,,False,,False,,,,
0.27600308280321373,0.602224300140452,0.9706758765751086,0.9764825835171499,0.9933025122357949,0.9848207354735077,0.7516339869281046,0.45865930357416784,0.5696865771172716,146530,988,3529,2990,0.8977377737088277,1.001706765246437,B_smooth,"Model B, smooth per-channel log-likelihood ratios",154037,6519,160,,,117.0,,False,,,,,,
0.30989067348762295,0.5874258445168393,0.9717275719469998,0.9749208813518839,0.996102170582573,0.9853977152705362,0.8264936632468316,0.42015646571560056,0.5571036306315469,146943,575,3780,2739,0.897835639936809,0.9969492411057699,A_full,"Model A, plus the recovered per-wafer rate",154037,6519,160,,False,113.2,,,,,,,,
0.29343700376770104,0.5276344051969867,0.9715717652252381,0.9732462259721882,0.997742648354777,0.9853422103504949,0.8813257305773343,0.3793526614511428,0.530402144772118,147185,333,4046,2473,0.8545317146380889,1.0023585274000224,A_linear,"Model A, one coefficient per channel (no spline)",154037,6519,160,,False,93.9,,False,,False,,,,
0.280885700701854,0.5275155494760041,0.9715522893850179,0.973245695241622,0.9977223118534687,0.9853320211818736,0.8803844784620861,0.3793526614511428,0.5302315608919382,147182,336,4046,2473,0.8543624413668575,1.0024297041218737,A_smooth,"Model A, smooth per-channel log-likelihood ratios",154037,6519,160,,False,96.1,,False,,,,,,
0.2759325764095808,0.5262980118005134,0.9715912410654582,0.973196694214876,0.9978172155262409,0.9853531837412307,0.8844635809113742,0.3781254793680012,0.5297657425317,147196,322,4054,2465,0.8533318340245923,1.0004003065613642,parametric_only,die measurements alone,154037,6519,160,,False,92.7,False,False,False,,,,,
0.10779720721465187,0.15962645199953082,0.9188441738023981,0.9672030174054466,0.9473826922816199,0.9571902620773732,0.18654370153007754,0.27304801349900293,0.22165494053919432,139756,7762,4739,1780,0.7454323362258457,1.000298485046967,block_only,sub-die readings alone,154037,6519,160,False,,98.2,False,False,False,,,,,
0.06676014658586556,0.05233415139239603,0.7489304517745736,0.9616963876681881,0.7684418172697569,0.8542759389883644,0.05541575643613638,0.30740911182696734,0.09390375333864392,113359,34159,4515,2004,0.5556788444032333,1.6620628734812533,prior_only,"pre-test hazard and recovered wafer rate, no die evidence",154037,6519,160,False,False,93.3,,,,,,,,
