experiment,repeat,fold,validation_wafers,validation_rows,validation_failures,average_precision
prior_only,0,0,31,30819,1301,0.04647388811310897
prior_only,0,1,32,30731,1289,0.061988859250932234
prior_only,0,2,32,30508,1311,0.07355029806510535
prior_only,0,3,33,31158,1319,0.043641916086482366
prior_only,0,4,32,30821,1299,0.04828079067213729
prior_only,1,0,32,30827,1290,0.04583048426802054
prior_only,1,1,31,30718,1290,0.062293452389106996
prior_only,1,2,32,30526,1314,0.07354943478699488
prior_only,1,3,33,31187,1320,0.04334596237291517
prior_only,1,4,32,30779,1305,0.04895701307789692
prior_only,2,0,31,30835,1295,0.04579149937243163
prior_only,2,1,31,30910,1298,0.06559979026087757
prior_only,2,2,32,30502,1307,0.07464262248834762
prior_only,2,3,33,30766,1296,0.04248018128441942
prior_only,2,4,33,31024,1323,0.05255915430102316
block_only,0,0,31,30819,1301,0.16303595782074565
block_only,0,1,32,30731,1289,0.15634726229026033
block_only,0,2,32,30508,1311,0.1597160213769847
block_only,0,3,33,31158,1319,0.16326586962422263
block_only,0,4,32,30821,1299,0.15954767537248987
block_only,1,0,32,30827,1290,0.1660013082359425
block_only,1,1,31,30718,1290,0.15530173860861865
block_only,1,2,32,30526,1314,0.1583669333222307
block_only,1,3,33,31187,1320,0.1642370391100138
block_only,1,4,32,30779,1305,0.15862586806556253
block_only,2,0,31,30835,1295,0.16638327361067573
block_only,2,1,31,30910,1298,0.15771140282181834
block_only,2,2,32,30502,1307,0.15948757279738945
block_only,2,3,33,30766,1296,0.17203721827113816
block_only,2,4,33,31024,1323,0.14899428941646198
parametric_only,0,0,31,30819,1301,0.5370599152551541
parametric_only,0,1,32,30731,1289,0.5269802052295166
parametric_only,0,2,32,30508,1311,0.5300076438500999
parametric_only,0,3,33,31158,1319,0.5251366502866607
parametric_only,0,4,32,30821,1299,0.5134302472115032
parametric_only,1,0,32,30827,1290,0.5322535749553229
parametric_only,1,1,31,30718,1290,0.5255073382484898
parametric_only,1,2,32,30526,1314,0.5324246994884099
parametric_only,1,3,33,31187,1320,0.5315368218324356
parametric_only,1,4,32,30779,1305,0.5106200881221645
parametric_only,2,0,31,30835,1295,0.5356391512334401
parametric_only,2,1,31,30910,1298,0.5367928744638604
parametric_only,2,2,32,30502,1307,0.5296817370267148
parametric_only,2,3,33,30766,1296,0.5093375145566559
parametric_only,2,4,33,31024,1323,0.5204142129217113
A_linear,0,0,31,30819,1301,0.5384109535991927
A_linear,0,1,32,30731,1289,0.5225058905450106
A_linear,0,2,32,30508,1311,0.5344530114692011
A_linear,0,3,33,31158,1319,0.5278495044333148
A_linear,0,4,32,30821,1299,0.5153729018346141
A_linear,1,0,32,30827,1290,0.5326086343434224
A_linear,1,1,31,30718,1290,0.521745312118306
A_linear,1,2,32,30526,1314,0.5367167396988931
A_linear,1,3,33,31187,1320,0.533198686684982
A_linear,1,4,32,30779,1305,0.5136100241584506
A_linear,2,0,31,30835,1295,0.5359047035636949
A_linear,2,1,31,30910,1298,0.536657585838672
A_linear,2,2,32,30502,1307,0.5346492446864151
A_linear,2,3,33,30766,1296,0.5095932638974433
A_linear,2,4,33,31024,1323,0.5242211684729993
A_smooth,0,0,31,30819,1301,0.5383056416266759
A_smooth,0,1,32,30731,1289,0.5222954071367208
A_smooth,0,2,32,30508,1311,0.5344462103527139
A_smooth,0,3,33,31158,1319,0.5277514995081187
A_smooth,0,4,32,30821,1299,0.5154123001623404
A_smooth,1,0,32,30827,1290,0.5324160337268729
A_smooth,1,1,31,30718,1290,0.5215565008314916
A_smooth,1,2,32,30526,1314,0.5367068296603928
A_smooth,1,3,33,31187,1320,0.5330705039495274
A_smooth,1,4,32,30779,1305,0.513604064566939
A_smooth,2,0,31,30835,1295,0.5356329953066988
A_smooth,2,1,31,30910,1298,0.5366191445752072
A_smooth,2,2,32,30502,1307,0.534684510198702
A_smooth,2,3,33,30766,1296,0.5093843999729305
A_smooth,2,4,33,31024,1323,0.5243085344673384
A_full,0,0,31,30819,1301,0.5808732491479532
A_full,0,1,32,30731,1289,0.5808632444640326
A_full,0,2,32,30508,1311,0.6303570542614044
A_full,0,3,33,31158,1319,0.5848555034485166
A_full,0,4,32,30821,1299,0.5606452137960231
A_full,1,0,32,30827,1290,0.5741369534697828
A_full,1,1,31,30718,1290,0.5797146915522862
A_full,1,2,32,30526,1314,0.6312048148879823
A_full,1,3,33,31187,1320,0.5908074201876237
A_full,1,4,32,30779,1305,0.5613372060556882
A_full,2,0,31,30835,1295,0.5753722548578007
A_full,2,1,31,30910,1298,0.5814043547213172
A_full,2,2,32,30502,1307,0.6308568976558804
A_full,2,3,33,30766,1296,0.5676931480314764
A_full,2,4,33,31024,1323,0.5834314653507819
B_linear,0,0,31,30819,1301,0.6148727018127406
B_linear,0,1,32,30731,1289,0.5980753225592154
B_linear,0,2,32,30508,1311,0.6030919336388219
B_linear,0,3,33,31158,1319,0.6040190761357361
B_linear,0,4,32,30821,1299,0.5911349552967328
B_linear,1,0,32,30827,1290,0.6136186657525968
B_linear,1,1,31,30718,1290,0.5939926423633166
B_linear,1,2,32,30526,1314,0.6052460526021068
B_linear,1,3,33,31187,1320,0.6081456004776697
B_linear,1,4,32,30779,1305,0.5896293771954598
B_linear,2,0,31,30835,1295,0.6167228555703672
B_linear,2,1,31,30910,1298,0.6104236521699437
B_linear,2,2,32,30502,1307,0.6036700965863592
B_linear,2,3,33,30766,1296,0.5941666056756307
B_linear,2,4,33,31024,1323,0.5891732442742972
B_smooth,0,0,31,30819,1301,0.6149857882335676
B_smooth,0,1,32,30731,1289,0.5973195768253239
B_smooth,0,2,32,30508,1311,0.6035839117642798
B_smooth,0,3,33,31158,1319,0.6035053396450112
B_smooth,0,4,32,30821,1299,0.5916217569020316
B_smooth,1,0,32,30827,1290,0.6141195525311486
B_smooth,1,1,31,30718,1290,0.5931752395946466
B_smooth,1,2,32,30526,1314,0.6056958399295259
B_smooth,1,3,33,31187,1320,0.6074356383006796
B_smooth,1,4,32,30779,1305,0.5898183454839454
B_smooth,2,0,31,30835,1295,0.617212556163673
B_smooth,2,1,31,30910,1298,0.6094659832441456
B_smooth,2,2,32,30502,1307,0.6041360842540918
B_smooth,2,3,33,30766,1296,0.5939162951900768
B_smooth,2,4,33,31024,1323,0.5894025130127063
B_full,0,0,31,30819,1301,0.6551867452271085
B_full,0,1,32,30731,1289,0.6509812862374437
B_full,0,2,32,30508,1311,0.6904475650347099
B_full,0,3,33,31158,1319,0.6524013165911204
B_full,0,4,32,30821,1299,0.6346593463347964
B_full,1,0,32,30827,1290,0.6543104343652633
B_full,1,1,31,30718,1290,0.6458592743120427
B_full,1,2,32,30526,1314,0.6915297413526025
B_full,1,3,33,31187,1320,0.6564912033780906
B_full,1,4,32,30779,1305,0.6349774694006145
B_full,2,0,31,30835,1295,0.6552586741285522
B_full,2,1,31,30910,1298,0.6490342155304307
B_full,2,2,32,30502,1307,0.6907984900096371
B_full,2,3,33,30766,1296,0.6421236085396766
B_full,2,4,33,31024,1323,0.6470876251801662
B_no_old_fails,0,0,31,30819,1301,0.6538348014562948
B_no_old_fails,0,1,32,30731,1289,0.6502383482478523
B_no_old_fails,0,2,32,30508,1311,0.6885466239651592
B_no_old_fails,0,3,33,31158,1319,0.6522779595187417
B_no_old_fails,0,4,32,30821,1299,0.6343090278638521
B_no_old_fails,1,0,32,30827,1290,0.6525925318866711
B_no_old_fails,1,1,31,30718,1290,0.6450488610710795
B_no_old_fails,1,2,32,30526,1314,0.6895757832050076
B_no_old_fails,1,3,33,31187,1320,0.656378153192105
B_no_old_fails,1,4,32,30779,1305,0.634426146417259
B_no_old_fails,2,0,31,30835,1295,0.6537909968085905
B_no_old_fails,2,1,31,30910,1298,0.6479783388845066
B_no_old_fails,2,2,32,30502,1307,0.688615565305531
B_no_old_fails,2,3,33,30766,1296,0.6415849311807653
B_no_old_fails,2,4,33,31024,1323,0.6460131476613081
B_no_prior_correction,0,0,31,30819,1301,0.6551408171910827
B_no_prior_correction,0,1,32,30731,1289,0.6517829127618641
B_no_prior_correction,0,2,32,30508,1311,0.6904064072498276
B_no_prior_correction,0,3,33,31158,1319,0.6523410115329681
B_no_prior_correction,0,4,32,30821,1299,0.6353686318083742
B_no_prior_correction,1,0,32,30827,1290,0.6547825035728851
B_no_prior_correction,1,1,31,30718,1290,0.6466445179728244
B_no_prior_correction,1,2,32,30526,1314,0.6913598226990131
B_no_prior_correction,1,3,33,31187,1320,0.6563433805589091
B_no_prior_correction,1,4,32,30779,1305,0.6357673196514071
B_no_prior_correction,2,0,31,30835,1295,0.655596996534972
B_no_prior_correction,2,1,31,30910,1298,0.6492280182162651
B_no_prior_correction,2,2,32,30502,1307,0.6906272431943498
B_no_prior_correction,2,3,33,30766,1296,0.6431392944886211
B_no_prior_correction,2,4,33,31024,1323,0.6472986363423292
B_two_rounds,0,0,31,30819,1301,0.6553533261212944
B_two_rounds,0,1,32,30731,1289,0.6511909484942265
B_two_rounds,0,2,32,30508,1311,0.6905992438736066
B_two_rounds,0,3,33,31158,1319,0.652446178495026
B_two_rounds,0,4,32,30821,1299,0.6350798850711146
B_two_rounds,1,0,32,30827,1290,0.6549367489297471
B_two_rounds,1,1,31,30718,1290,0.6459683006451558
B_two_rounds,1,2,32,30526,1314,0.6916343312528238
B_two_rounds,1,3,33,31187,1320,0.6566773877848096
B_two_rounds,1,4,32,30779,1305,0.6351721777259755
B_two_rounds,2,0,31,30835,1295,0.6557906909972903
B_two_rounds,2,1,31,30910,1298,0.6490843756798801
B_two_rounds,2,2,32,30502,1307,0.6906606566659589
B_two_rounds,2,3,33,30766,1296,0.6426107771218035
B_two_rounds,2,4,33,31024,1323,0.6470155267190771
B_three_rounds,0,0,31,30819,1301,0.6553269717090473
